code,title,credit,description
ACC 104,Computerized Accounting,3,Description Emphasizes a fundamental understanding of corporate and cost accounting. Topics
ACC 105,Fundamentals of Accounting,3,"Description This is a course designed for students who want a working knowledge of accounting,"
ACC 130,Managerial Accounting,3,"Description This course studies management tools for business decision making, including study"
ACC 152,Payroll Accounting,3,Description Provides an understanding of the laws that affect a company's payroll structure and
ACC 160,Principles of Accounting I,3,Description This course is designed to help the students develop a basic understanding of
ACC 170,Principles of Accounting II,3,Description This course is a continuation of ACC 160 Principles of Accounting I. It is a study of
ACP 100,Introduction to Coatings & Paint Technology,3,"Description The objective of this course is to discuss the fundamentals of paint composition,"
ACP 101,Surface Preparation & Coatings,4,Description This course is a study of surface preparation from various coating and painting
ACP 102,Performance & Durability of Coatings,3,Description The objective of this course is to discuss facts and findings affecting performance
ACP 103,Color Technology,3,Description This course is a study of the fundamentals of visual color match evaluation and of
ACP 104,Specialized Coatings Processes,3,Description This course is a study in special coatings for aerospace structures. Topics include
ACP 105,Specialized Detailing,3,"Description This course provides instruction in the equipment, material, and techniques used in"
ACP 106,Aerospace Coatings & Materials,3,Description This course covers advanced technologies for coating materials and applications.
ACP 107,Aerospace Program Management,3,Description This course will introduce basic program management skills and techniques. Topics
ACP 110,Integrated Assembly Capstone Project,4,Description This course addresses the full spectrum of the Coating Technicians role within the
ACP 111,Technical Co-Operative Project,4,Description Students will work on a part-time basis in a job directly related to applied
ACP 115,Introduction to Airbrush,3,Description This course is designed as an introduction to airbrush paint. The ability to draw is not
ACP 120,Intermediate Airbrush I,3,Description This course deals with promoting advanced technique skills that have been
ACP 121,Surface Preparation & Coatings II,3,Description This course is designed to enhance the students understanding of surface
ACP 124,Specialized Coatings Processes II,4,Description This course is designed to enhance the students understanding of aviation coatings
ACP 125,Intermediate Airbrush II,3,Description This course deals with the continued progression of advanced technique skills that
ACP 160,Advanced Airbrush,3,Description This course deals with refining advanced technique skills that have been
ACR 112,HVAC Fundamentals,4,Description This course is designed to introduce students to the HVAC industry. Topics
ACR 113,Electrical Fundamentals,4,Description Students will be introduced to basic electrical theory for DC and AC systems. The
ACR 116,Workplace Skills,1,"Description Upon successful completion of this course, the student should be able to identify the"
ACR 117,Intro to Mechanical Refrigeration,4,Description The students will learn the basics of the refrigeration system and its components.
ACR 118,Electrical Fundamentals II,3,Description Students will be introduced to motor theory and explore motor applications. This
ACR 119,Advanced Electrical Theory for HVAC,2,Description Advanced Electrical Theory for HVAC is a continuation of Electrical Fundamentals I
ACR 121,Heating System Fundamentals,3,Description This course will provide students a firm understanding of combustion and how it is
ACR 122,Heating System Fundamentals II,3,Description The Heating System Fundamentals II course is designed to walk students through
ACR 123,Heat Loads and Duct Sizing,2,Description The course will teach students to analyze heat flow characteristics as they study
ACR 124,Advanced Heating Systems,3,Description This course will introduce students to electric furnaces and hydronic heating with an
ACR 126,EPA 608,1,Description This course prepares students for the certification exam required by federal and
ACR 127,Heat Pumps,4,"Description The student will learn basic functions of heat pump designs, charging, and trouble"
ACR 128,Commercial HVAC,4,Description This course will introduce students to the commercial applications of various HVAC
ACR 129,Commercial HVAC Lab,4,"Description This course continues the introduction to commercial HVAC systems through handson training. Students will perform basic maintenance, repairs and troubleshooting on"
ACR 140,Sheet Metal Fabrication I,3,"Description Upon successful completion of this course, the student will be able to identify the"
ADN 110,Concepts of Professional Nursing: Transitioning from LPN to RN,3,Description This course focuses on the transition from a Licensed Practical Nurse (LPN) into the
ADN 120,Introduction to Nursing Concepts,1,Description This course introduces students to a core set of concepts critical to professional
ADN 130,Foundational Concepts in Nursing,6,Description This course introduces students to concepts under the category of Client Centered
ADN 140,Pharmacological Concepts in Nursing I,2,Description The purpose of this course is to examine pharmacotherapeutic agents used in the
ADN 150,Professional Nursing Concepts I,4,Description This course introduces students to concepts under the categories of Professional
ADN 160,Client Care Concepts I,6,Description This course focuses on the care of clients across the lifespan with concept-related
ADN 170,Pharmacological Concepts in Nursing II,2,Description This course is a continuation of Pharmacological Concepts in Nursing I. The purpose
ADN 180,Client Care Concepts II,6,"Description This course builds on Client Care Concepts I, focusing on the care of clients across"
ADN 190,Professional Nursing Concepts II,4,Description This course requires students to continue appraising concepts under the categories
ADN 200,Client Care Concepts III,6,"Description This course builds on Client Care Concepts I and II, focusing on the care of clients"
ADN 210,Transition to Practice,4,Description This course facilitates the transition of the student to the role of a professional nurse.
AER 106,Aerospace Manufacturing Tooling Orientation,1,"Description This course provides an overview of the Tooling safety hazards, traits employers"
AER 111,Tap and Die,1,Description This course provides knowledge and technical skills on taps and dies. Topics include
AER 115,Aerostructures Assembly,6,Description Students will master the techniques associated with aerospace mechanical
AER 116,Hand and Power Tools for Aerospace Tooling,1,Description This course provides technical knowledge on hand power tools used by a toolmaker
AER 126,Tooling Capstone,4,Description This course provides the specific technical knowledge and skills necessary to utilize
AER 135,Quality Assurance Orientation,1,Description This course provides an overview of the Quality Assurance Program. The course
AER 140,Assembly Mechanic Orientation,1,Description This course provides an overview of the technical and mechanical knowledge and
AER 150,Assembly Overview I,3,Description This course is designed to provide the student with a general overview of assembly
AER 155,Aerospace Plumbing,2,Description This course is designed to develop basic theory and knowledge of aircraft fluid lines
AER 157,Advanced Assembly,3,Description This course is the second of two courses designed to provide students with real
AER 165,Electrical Assembly Mechanic Orientation,1,Description The electrical certificate educational program is a tremendous opportunity for you to
AER 166,Electrical Hand Tools,1,Description This course familiarizes the student with various hand tools and connectors used in
AER 167,Basic Drilling & Riveting/Ground Stud Installation,2,Description This course familiarizes the student with power tools and acquired skills used in
AER 168,Wire Installation Drawings,1,Description This course familiarizes with the various drawings utilized in aerospace wire bundle
AER 169,Crimping & Cables,2,Description This course familiarizes the student with specifications and skills required to strip
AER 170,Fiber Optics for Aerospace,1,Description This course familiarizes the student with the advantages and disadvantages of the
AER 175,Wire Bundle Basics,1,"Description This course familiarizes the student with wiring in airplanes, wire and cable basics,"
AER 180,Soldering,1,Description The soldering course acquaints the student with the proper way to safely perform
AER 185,Wire Bundle Installation,2,Description This course familiarizes with the requirements for wire bundle installation culminating
AFV 110,Electrical I,3,Description In this course students will: Complete service work orders; describe the relationship
AFV 120,Electrical II,5,Description In this course students will: Perform battery diagnosis; perform battery service;
AFV 125,Manual Transmission/Transaxle & Drive Train,4,Description This course contains competencies that can be used in their entirety within a single
AFV 130,Suspension and Steering I,3,Description In this course students will: document fundamental suspension system concerns;
AFV 135,Introduction to Alternative Fuels,3,Description Students will use various sources in the alternative fueled vehicle industry to learn
AFV 140,Engine Repair,4,Description Through a variety of learning and assessment activities students can: explore the
AFV 145,Hybrid Systems & Maintenance,3,Description This course introduces the student to the features of the Internal Combustion Engine
AFV 150,Electric/Fuel Cell Technology,1,Description This course is designed to help prepare the student to enter the automotive repair
AFV 155,High Voltage Battery Technology & Management,3,Description This course introduces the student to high voltage battery technology: electrical
AFV 160,Brakes I,3,Description In this course students will Perform system pressure and travel calculations utilizing
AFV 165,"Introduction to CNG and LPG Conversion, Installation & Maintenance",1,Description This course introduces students to CNG and LNG as forms of alternative fuels. It will
AFV 170,Automotive Computer Systems,3,Description In this course students will: Perform automotive computer system diagnosis; perform
AFV 175,Automatic Transmission Repair,4,Description This course contains competencies that can be used in their entirety within a single
AFV 180,Heating & Air Conditioning,4,Description This course contains competencies that can be used in their entirety within a single
ALH 101,Medical Terminology,3,Description Presents basic principles of medical word-building. The study develops
ALH 105,First Aid & CPR,3,Description This course is designed to show the student how to deal with respiratory
ALH 110,Principles of Nutrition,3,Description Designed to help students increase their knowledge concerning their personal state
ALH 115,Pharmacology,3,Description This course will provide the basic pharmacology principles with an emphasis on a
ALH 121,Legal and Ethical Issues in Healthcare,3,Description This course introduces various ethical and moral issues in the context of healthcare
ALH 130,Emergency Preparedness for Health Professionals,1,Description This course is designed to provide health care professionals with an orientation for
ALH 131,"Diseases, Disorders & Diagnostic Procedures",2,Description Course focuses on diseases and disorders by body systems that are frequently
ALH 135,Spanish for Health Care Providers,1,Description This workshop is designed to provide health care providers with basic and practical
ALH 155,Pharmacology for Allied Health,3,Description Focuses on knowledge and skills necessary for safe and therapeutic drug therapy.
ALH 175,Pathophysiology,4,Description This course focuses on the essential mechanisms of disordered function which
AMT 011,Materials & Processes,,Description This course is designed to develop correct and safe usage of aircraft hardware with
AMT 018,Engine Airflow and Fire Protection Systems,,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 020,Airframe Inspection,,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 105,Technical Mathematics,2,Description This course is designed to provide the technical math principles required for the
AMT 107,Aircraft Drawings,1,Description This course is designed to develop theory and knowledge of blueprint reading skills
AMT 109,Physics,2,"Description This course is designed to develop the basic principles, fundamentals, and technical"
AMT 111,Materials & Processes,3,Description This course is designed to develop correct and safe usage of aircraft hardware with
AMT 112,Assembly & Rigging,3,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 113,Basic Electricity,4,Description A course designed to provide the technical skills to apply the electrical and electronic
AMT 115,Weight & Balance,2,Description This course is designed to calculate and apply aircraft weight and balance principles
AMT 120,Airframe Inspection,3,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 123,Cleaning & Corrosion Control,1,Description This course is designed to develop basic theory and knowledge of cleaning and
AMT 125,Fluid Lines & Fittings,1,Description This course is designed to develop basic theory and knowledge of aircraft fluid lines
AMT 127,Ground Operations & Servicing,1,Description This course is designed to develop safe skills and technical knowledge in Ground
AMT 131,General Review & Test,,Description Upon completion of the General curriculum this course is designed to prepare the
AMT 133,"Regulations, Research & Documentation",3,Description This course is designed to develop basic theory and knowledge of maintenance
AMT 136,Propellers,3,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 151,Aircraft Electrical Systems,5,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 153,Hydraulic & Pneumatic Power Systems,2,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 154,"Landing Gear, Position, & Warning Systems",3,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 159,Aircraft Fuel Systems,2,"Description This course is designed to develop correct safety practices, comprehensive"
